YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W02,2022-01-10,2022-01-16,15,25.457,30.9,21.8,9.6,9.6,229550.03,294363.41,18.3,24.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,55,21.471,26.4,17.2,33.3,33.3,240495.52,296150.28,10.9,22.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,32,25.757,28.6,23.2,24.9,24.9,236861.41,295211.11,22.1,23.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,528,26.143,31.7,22.2,12.8,12.8,267459.86,296244.07,19.2,28.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,110,25.9,29.3,23.0,18.3,18.3,255534.11,297367.51,13.8,26.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,442,26.357,34.0,22.0,18.1,18.1,258119.5,296056.47,13.6,28.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,34,26.5,31.0,22.9,15.8,15.8,257740.94,297274.0,23.7,28.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,47,26.043,29.6,23.0,8.5,8.5,249956.99,292565.29,22.0,25.51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,17,26.029,28.3,23.7,31.7,31.7,241393.92,295587.1,20.2,23.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W02,2022-01-10,2022-01-16,155,25.943,30.0,22.4,13.8,13.8,262534.13,296712.57,12.5,28.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
